Title,Date,URL,Thumbnail,Summary
Snyk-Generated SBOMs Now Include License Details for the Open Source Libraries in Your Projects,"December 9, 2024",https://snyk.io/blog/include-license-info-in-your-sboms/,thumbnails/Snyk-GeneratedSBOMsNowIncludeLicenseDetailsfortheO.jpg,"Snyk now includes license information in its generated SBOMs, giving developers a clearer picture of their application's components and associated license risks and simplifying compliance and security…"
2024 Open Source Security Report: Slowing Progress and New Challenges for DevSecOps,"December 3, 2024",https://snyk.io/blog/2024-open-source-security-report-slowing-progress-and-new-challenges-for/,thumbnails/2024OpenSourceSecurityReportSlowingProgressandNewC.png,"Read top-level findings from Snyk’s 2024 Open Source Security Report, exploring slowing progress and new challenges for DevSecOps."
Going beyond reachability to prioritize what matters most,"October 1, 2024",https://snyk.io/blog/Reachability-for-vuln-prioritization/,thumbnails/Goingbeyondreachabilitytoprioritizewhatmattersmost.jpg,"While static reachability can help teams better understand their app vulnerabilities, they must be paired with other types of context and risk insights."
Weak Hash vulnerability discovered in crypto-js and crypto-es (CVE-2023-46233 & CVE-2023-46133),"October 25, 2023",https://snyk.io/blog/weak-hash-vulnerability-crypto-js-crypto-es/,thumbnails/WeakHashvulnerabilitydiscoveredincrypto-jsandcrypt.jpg,"Learn how to find and fix the new ""Use of Weak Hash"" vulnerability in crypto-js and crypto-es that was reported on October 18, 2023."
Find and fix HTTP/2 rapid reset zero-day vulnerability CVE-2023-44487,"October 11, 2023",https://snyk.io/blog/find-fix-http-2-rapid-reset-zero-day-vulnerability-cve-2023-44487/,thumbnails/FindandfixHTTP2rapidresetzero-dayvulnerabilityCVE-.jpg,"HTTP/2 rapid reset vulnerability is being tracked as CVE-2023-44487, assigned High severity. Learn about the vulnerability, and how to find and fix with Snyk."
Developer-first supply chain security,"September 19, 2023",https://snyk.io/blog/developer-first-supply-chain-security/,thumbnails/Developer-firstsupplychainsecurity.svg,"Developer-first supply chain security aims to minimize the risk of potential breaches, streamline the development workflow, foster collaboration, and instill a culture of vigilance."
"Software Supply Chain Security Tools: Types, Features & Considerations","August 2, 2023",https://snyk.io/blog/supply-chain-security-tools-guide/,thumbnails/SoftwareSupplyChainSecurityToolsTypesFeaturesConsi.svg,Software supply chain security tools provide a range of features to identify and mitigate potential risks and vulnerabilities in your supply chain.
Secrets Management: Tools & Best Practice,"June 26, 2023",https://snyk.io/blog/secrets-management/,thumbnails/SecretsManagementToolsBestPractice.svg,"As applications and projects scale, so will the number of secrets you need to keep safe. Learn the best practices and tools to use to secure your secrets."
How to implement DevSecOps in 4 steps: DevSecOps implementation strategy,"June 22, 2023",https://snyk.io/blog/4-steps-to-implement-devsecops/,thumbnails/HowtoimplementDevSecOpsin4stepsDevSecOpsimplementa.png,Learn more about the best ways and strategies to implement DevSecOps in 4 steps.
High profile AWS breaches & how to avoid them,"June 7, 2023",https://snyk.io/blog/aws-security-breaches/,thumbnails/HighprofileAWSbreacheshowtoavoidthem.svg,"Companies like Capital One, Twilio, and Uber have all suffered from AWS breaches. Learn from their experiences and prevent the next breach from happening to you."
Lessons from OpenSSL vulnerabilities part 2: Finding and fixing supply chain vulnerabilities,"April 26, 2023",https://snyk.io/blog/lessons-from-openssl-vulnerabilities-part-2/,thumbnails/LessonsfromOpenSSLvulnerabilitiespart2Findingandfi.jpg,This supply chain series centers on the lessons learned from OpenSSL and what you need to consider when enhancing your supply chain security. Let’s dive into part two and discuss how to find — and mor…
Lessons from OpenSSL vulnerabilities part 1: Preparing your supply chain for the next critical vulnerability,"April 19, 2023",https://snyk.io/blog/lessons-from-openssl-vulnerabilities-part-1/,thumbnails/LessonsfromOpenSSLvulnerabilitiespart1Preparingyou.jpg,"In this two part series, we'll walk through some of the things you need to consider when finding instances of a vulnerability in your software supply chain. Let’s begin by discussing where you’ll need…"
SnykLaunch recap: Custom Base Image Recommendations,"April 4, 2023",https://snyk.io/blog/snyklaunch-recap-custom-base-image-recommendations/,thumbnails/SnykLaunchrecapCustomBaseImageRecommendations.png,One of the exciting new features discussed at SnykLaunch today was Custom Base Image Recommendations (CBIR). Read on for all the details.
Top AWS Security Risks & Prevention,"March 1, 2023",https://snyk.io/blog/aws-security-risks-prevention/,thumbnails/TopAWSSecurityRisksPrevention.svg,Check out the top 10 challenges and risks to your AWS security. Follow our best practices to secure your AWS deployments and avoid security mistakes or misconfigurations.
Three ways Snyk made software supply chains more secure in 2022,"January 12, 2023",https://snyk.io/blog/snyk-software-supply-chain-security-2022-review/,thumbnails/ThreewaysSnykmadesoftwaresupplychainsmoresecurein2.jpg,"In 2022, Snyk continued to expand on our developer-centric approach to software security, by adding several key enhancements to the existing solutions — let's focus on three key capabilities introduce…"
"What's new in Elastic Observability 7.13: Native Azure console integration, Fleet Server, and enhanced APM workflows",25 May 2021,https://www.elastic.co/blog/whats-new-elastic-observability-7-13-0,thumbnails/WhatsnewinElasticObservability713NativeAzureconsol.png,"Elastic Observability 7.13 adds native integration in Azure console, the new Fleet Server, new troubleshooting views in Elastic APM, and more..."
Getting started with free and open Elastic Observability,21 April 2021,https://www.elastic.co/blog/getting-started-with-free-and-open-elastic-observability,thumbnails/GettingstartedwithfreeandopenElasticObservability.png,"Learn how to get started with free and open Elastic Observability, including downloading, installing, enabling security, and loading sample data..."
How to monitor containerized Kafka with Elastic Observability,24 March 2021,https://www.elastic.co/blog/how-to-monitor-containerized-kafka-with-elastic-observability,thumbnails/HowtomonitorcontainerizedKafkawithElasticObservabi.png,"Learn how to monitor your containerized Kafka cluster with Elastic Observability, including logs and metrics..."
Ingesting metrics securely using role-based access control (RBAC),09 June 2020,https://www.elastic.co/blog/ingesting-metrics-securely-elastic-stack-role-based-access-control-rbac,thumbnails/Ingestingmetricssecurelyusingrole-basedaccesscontr.png,"You've identified the systems metrics you need to monitor, and you've consolidated them into the Elastic Stack. In this final post in the series, we're going to make sure they stay secure in Elasticse…"
Identifying and monitoring key metrics for your hosts and systems,27 May 2020,https://www.elastic.co/blog/identifying-and-monitoring-key-metrics-for-your-hosts-and-systems,thumbnails/Identifyingandmonitoringkeymetricsforyourhostsands.png,"Infrastructure monitoring (metrics) is a key part of observability, but do you know which metrics you should be monitoring? In part 1 of this series on metrics with the Elastic Stack, learn what stats…"
KubeCon 2019:  Elastic Doubles Down on Observability and Orchestration for Kubernetes,19 November 2019,https://www.elastic.co/blog/kubecon-2019-elastic-doubles-down-on-observability-and-orchestration-for-kubernetes,thumbnails/KubeCon2019ElasticDoublesDownonObservabilityandOrc.png,"As users adopt Kubernetes initiatives, Elastic products move fast to support their evolving needs. Whether you are trying to migrate Elasticsearch workloads to Kubernetes or want to gain better visibi…"
Elastic APM 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-apm-7-2-0-released,thumbnails/ElasticAPM720released.png,"Elastic APM 7.2.0 released, including the beta .NET agent, expanded agent metrics, WebLogic and JBoss support, and support for multiple environments..."
Elastic Logs 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-logs-7-2-0-released,thumbnails/ElasticLogs720released.png,"Elastic Logs 7.2.0 released with improved support for structured logs, customizable column views, new NATS and CoreDNS modules, and CRI-O container log input..."
Elastic Infrastructure 7.2.0 released,25 June 2019,https://www.elastic.co/blog/elastic-infrastructure-7-2-0-released,thumbnails/ElasticInfrastructure720released.png,"Elastic Infrastructure 7.2.0 released with Metrics Explorer to quickly build and break down time-series visualizations,  plus module for CNCF CoreDNS metrics..."
Elastic Infrastructure 7.0 released,10 April 2019,https://www.elastic.co/blog/elastic-infrastructure-7-0-0-released,thumbnails/ElasticInfrastructure70released.png,"Version 7.0 of the Elastic Stack brings you increased observability into your entire application stack, with new modules (NATS, Microsoft SQL Server, CouchDB, and AWS EC2), an improved Prometheus modu…"
Monitoring Applications with Elasticsearch and Elastic APM,30 January 2019,https://www.elastic.co/blog/monitoring-applications-with-elasticsearch-and-elastic-apm,thumbnails/MonitoringApplicationswithElasticsearchandElasticA.jpg,"Application Performance Monitoring (APM) lets see what's going on inside your application, and helps increase the observability of your entire application stack.  Elastic APM increases the observabili…"
Tutorial: Getting Started on Elastic Cloud with a Sample Dataset for hosted Elasticsearch and the Elastic Stack,25 May 2018,https://www.elastic.co/blog/getting-started-with-hosted-elasticsearch-and-a-sample-dataset,thumbnails/TutorialGettingStartedonElasticCloudwithaSampleDat.jpg,"This step-by-step set of instructions will walk you through setting up an Elastic Cloud account, creating and securing a Elasticsearch cluster, importing data, and visualizing it in Kibana...."
Here to Help... (An Elastic{ON} Canvas Story),28 March 2018,https://www.elastic.co/blog/elasticon-kibana-canvas-story-ama,thumbnails/HeretoHelpAnElasticONCanvasStory.png,...
"But First, Coffee... (An Elastic{ON} Canvas Story)",14 March 2018,https://www.elastic.co/blog/elasticon-kibana-canvas-story-elasticoffee,thumbnails/ButFirstCoffeeAnElasticONCanvasStory.jpg,"See how we used Elasticsearch, Kibana, Canvas, and IoT to track beverage metrics at Elastic{ON)..."
Monitor Your System with Metricbeat and Elastic Cloud,07 September 2017,https://www.elastic.co/blog/ship-metrics-with-metricbeat-to-hosted-elasticsearch-elastic-cloud,thumbnails/MonitorYourSystemwithMetricbeatandElasticCloud.jpg,"Learn how to create hosted Elasticsearch deployment s, add users, create Kibana dashboards, and ship system metrics with Metricbeat...."
